date,pe1,sd1,pe3,sd3,pe5,sd5,log_ret,shift_ret,proj,ds1,ds3,ds5,shp1,shp3,shp5,symbol,hsi1,hsi3,hsi5,HSC,trade
2019-02-11,140.53421769673292,0.7941218174680474,141.54437949681667,1.20855829169815,142.26566176937894,1.410470094444117,0.012126952947728142,0.005353981599910185,0.022607062910082583,3,3,3,31123,21323,32233,V,0.5641028350125544,0.7885256641209546,0.8268049059813514,0.807665285051153,1
2019-02-12,141.28865312698076,0.639745443115592,142.22619393645462,0.9251323357337915,142.96089823003234,1.1875046897222168,0.005353981599910185,0.010711966701159703,0.024968711131126718,3,3,3,11233,22313,22233,V,0.6017176335586176,0.5,0.8044364531706069,0.5508588167793088,1
2019-02-13,142.81026766673634,0.8551511992188484,143.1684793410603,0.9089778530794586,143.48928771795065,0.8467818526633959,0.010711966701159703,-0.0016160815649257643,0.02275911301844535,3,3,3,12333,12323,22233,V,0.7420588266940447,0.7817914478228472,0.8044364531706069,0.7931139504967271,1
2019-02-14,142.57966101564682,0.4518994492354909,143.56852345214818,0.8347363778661246,143.6694909040478,0.7574241164719158,-0.0016160815649257643,0.01071425804323134,0.02209671298891585,2,3,3,23332,13233,22233,V,0.33750089124853333,0.22465460143422095,0.8044364531706069,0.28107774634137717,1
2019-02-15,144.11550934079776,0.5146533709123493,144.01883663579,0.45708960829936013,144.1168484395213,0.7112102307143038,0.01071425804323134,-0.0007296070367353025,0.015476418850759134,3,3,3,33323,23133,22323,V,0.5,0.2140653660883958,0.8113346963598074,0.3570326830441979,1
2019-02-19,144.0104,0.35033315365274725,143.88409472126483,0.5554348691184051,144.50584710911338,1.0815322524154065,-0.0007296070367353025,-0.0005542762948920199,0.02365996370042664,2,3,3,33232,23233,22333,V,0.5641028350125545,0.3221419248687812,0.6815627359457568,0.6228327854791557,1
2019-02-20,143.93060056657225,0.5962734851941782,144.15277761893626,0.8731839593700729,144.84980768174665,1.2356681201507191,-0.0005542762948920199,-0.001524930991798179,0.034297237105237445,2,2,3,32322,32332,22333,V,0.47965441962721456,0.15385889139394482,0.6815627359457568,0.5806085777864857,1
2019-02-21,143.7112835972222,0.767429185086747,144.8627449929982,1.2415416808952997,145.33286783368152,1.2640194788514736,-0.001524930991798179,0.0076607575426823615,0.032279228960296474,2,2,3,23222,31332,22333,V,0.5473080749911268,0.6551812301801129,0.6815627359457568,0.6683719830629349,1
2019-02-22,144.8164486930143,0.9685948572735498,145.53571808164625,1.0430191022120034,146.07414728153384,1.1743700324052708,0.0076607575426823615,0.008553868399029163,0.02078497906580099,3,3,3,32223,32333,22333,V,0.20761416828386625,0.26401131768926966,0.6815627359457568,0.23581274298656796,0
2019-02-25,146.06050268875802,0.664276995436592,146.045535626057,0.8579122499008504,146.88426204311162,1.3847339108884602,0.008553868399029163,-0.0022639512526305694,0.009838512729472487,3,3,3,22233,23323,23233,V,0.8052475519321981,0.21406536608839566,0.8950637891268335,0.8501556705295158,1
