shp1,shp1,shp1,shp1,shp1,shp3,shp3,shp3,shp3,shp3,shp5,shp5,shp5,shp5,shp5
shape,p_avg,p_std,p_srs,HSI,shape,p_avg,p_std,p_srs,HSI,shape,p_avg,p_std,p_srs,HSI
32112.0,-9.331269322925184e-05,0.0015241621932433,-0.06122228568777815,0.0,32211,-5.9481429947388654e-05,0.0008979650825328473,-0.06624024820610197,0.0,21221.0,-0.00032540268697177295,0.004517210878898324,-0.07203619571799436,0.0
23233.0,-8.363082494111468e-05,0.001378402585650212,-0.06067227804978677,0.004020934634494663,11221,-0.00013613691133892132,0.0025009366029210152,-0.05443437117914852,0.07680905005953508,32222.0,-9.568390629851705e-05,0.001428408329636711,-0.06698638219426546,0.02868546449449663
23211.0,-0.00015767287145125995,0.002680025765710028,-0.05883259536853265,0.017470282059103736,23222,-0.00026613924902759817,0.004963423272689076,-0.05362009935602564,0.08210670351480351,22132.0,-0.0005666933077496868,0.009006044489229675,-0.06292366292742559,0.05176374030258749
22332.0,-0.00012973538282783157,0.002507132124132942,-0.05174652806648506,0.06927431434712417,12322,-0.00018297275951350948,0.003542377812626517,-0.0516525252787317,0.0949077428152876,12212.0,-8.134891666678017e-05,0.0013339056897141545,-0.060985508416425305,0.06277342653137581
31222.0,-4.474491898697676e-05,0.0008701276059268878,-0.05142339891551083,0.07163661098597103,22232,-0.0003073019083583099,0.005971670061291809,-0.05145996098314806,0.09616056635269994,22332.0,-0.00020444256174543252,0.0034593060571820678,-0.05909929863562588,0.07348804073288014
22121.0,-3.280759897524134e-05,0.0006937677094941035,-0.047289025600751426,0.1018617273388227,13231,-8.024100063759693e-05,0.0015600479199653684,-0.05143495889496664,0.09632322996831576,33211.0,-5.7612237584561396e-05,0.001002254494824631,-0.05748264326281925,0.08267145118527992
13223.0,-0.00011127194059337103,0.0023662201989732546,-0.04702518414881841,0.10379059006510627,33221,-0.00010612849755487317,0.002067582061153177,-0.05132976318032131,0.09700763341363326,22232.0,-7.17814673848803e-05,0.0013165219167067658,-0.05452356430528644,0.09948049848452366
23312.0,-4.6419952733873724e-05,0.0010148469438012837,-0.04574084103756554,0.11318002276002499,23232,-0.0001451420041768522,0.002831400545993116,-0.05126155830627755,0.09745137440574853,22231.0,-0.0001787645493577913,0.003292368203768968,-0.054296645543213846,0.10076951045733842
23322.0,-0.0001237948815151626,0.002876030642874927,-0.04304365873912082,0.13289828296268105,12321,-6.414102437146854e-05,0.0012536905309087248,-0.051161768227583705,0.09810060877709946,12232.0,-0.00021498259505488846,0.003976302798464807,-0.054065951702141526,0.10207996676549384
22321.0,-0.000195655436913284,0.004762244605145322,-0.04108470965600757,0.14721954992593198,13321,-0.000137946914423646,0.0028139401035065068,-0.049022690373454504,0.11201745185482641,13232.0,-0.00010968297598901505,0.0021296777552173383,-0.051502146613641865,0.11664366094774166
33122.0,-4.2597883490967795e-05,0.0010412954842810563,-0.040908545301508475,0.14850743268507996,11332,-0.0003605412841210609,0.007378754166695845,-0.04886208104728183,0.11306237632302649,31231.0,-6.330050251460602e-05,0.001244333326505648,-0.05087101756919688,0.12022878933135443
21122.0,-8.380198944528199e-05,0.002198681680384665,-0.03811465306365796,0.168932709150777,21133,-0.00019284248649962144,0.004058322798723869,-0.047517779157503284,0.12180840602597803,23311.0,-6.556224451424305e-05,0.001295086106336659,-0.05062384979149801,0.121632825832514
21212.0,-1.5472334173992016e-05,0.0004083222001562579,-0.03789246376530842,0.17055706594773062,23333,-0.00011202488290783838,0.0023949249972933856,-0.046775946233991804,0.12663477191372338,22321.0,-0.00019839573917846591,0.003928683998408306,-0.05049928659542109,0.12234040703756155
32111.0,-1.329977124393431e-05,0.0003651992223654102,-0.0364178520364615,0.1813374932788972,33321,-0.00013506365466065332,0.002890944392099492,-0.046719561617913366,0.1270016102933769,21121.0,-0.00012644998990330198,0.002515567047520586,-0.05026699249695399,0.1236599536074592
13213.0,-1.7885175975898794e-06,4.9111012802161374e-05,-0.0364178520364615,0.1813374932788972,23231,-9.25061523709464e-05,0.001982724042278183,-0.04665609050902277,0.12741455340374316,21232.0,-5.71959846423308e-05,0.001151810767781636,-0.04965744915936938,0.1271224643884967
23132.0,-2.190458944958159e-06,6.014794455107003e-05,-0.0364178520364615,0.1813374932788972,31113,-4.35502285690858e-05,0.0009431403771947611,-0.04617576515875595,0.13053955070714368,32231.0,-4.4065509528766265e-05,0.0008878240482220498,-0.049633156048218725,0.12726046140048505
33233.0,-7.832345887183259e-06,0.00021506885906784194,-0.0364178520364615,0.1813374932788972,23221,-0.0002052992025333596,0.004483832596729813,-0.04578654490426118,0.1330718181484715,32232.0,-0.00015162568850503915,0.0030602083975061517,-0.049547504225072744,0.12774700656105342
12133.0,-1.2165530193859351e-05,0.0003340540288229861,-0.036417852036461494,0.18133749327889723,22211,-7.389369395060498e-05,0.0016428559577888727,-0.04497880267607809,0.13832699005125096,32331.0,-0.00010881022979226877,0.002246683046589599,-0.04843149992048928,0.13408646874206387
32113.0,-3.7664999061385375e-06,0.00010342454855293289,-0.036417852036461494,0.18133749327889723,31332,-8.839479265081272e-05,0.0021366122225644777,-0.041371471957937465,0.16179628801855853,23233.0,-4.009838020745072e-05,0.0008451565345830226,-0.04744491531055153,0.13969076237908676
21132.0,-3.138427476647261e-05,0.0008617826975366566,-0.036417852036461494,0.18133749327889723,11122,-0.00011793669528126025,0.0028654595986459335,-0.04115803808121775,0.16318488907580636,22331.0,-0.00010508041423621138,0.0023104848919128134,-0.04547981014894972,0.15085354177206836
12132.0,-1.3194428256836204e-06,3.623066029162282e-05,-0.03641785203646149,0.18133749327889728,13322,-8.335702369271966e-05,0.002042372468313979,-0.0408138206844967,0.16542436787062592,33322.0,-0.0001298076977574788,0.0028583807285646524,-0.045413018797766054,0.15123295002623768
11321.0,-1.681174580640361e-05,0.0004616347441241652,-0.03641785203646149,0.18133749327889728,23112,-7.002937983449973e-05,0.0017600931542644572,-0.0397873144752756,0.1721028184957239,22122.0,-0.0002542359627498007,0.00565943972787579,-0.04492246140506658,0.15401956117626736
12121.0,-1.1982813406976172e-05,0.00032903679752938205,-0.03641785203646149,0.18133749327889728,22311,-3.906787358457231e-05,0.0010069314101045555,-0.03879894220452977,0.178533169671486,13121.0,-4.6722880066004715e-05,0.0010813925995225623,-0.04320621399354221,0.1637687041804036
12323.0,-3.9007645498518365e-06,0.00010711132951900618,-0.03641785203646149,0.18133749327889728,13122,-5.506510508508511e-06,0.00015120360484180672,-0.0364178520364615,0.19402454515319534,32332.0,-0.00010680851470716931,0.002478016122703801,-0.04310242928953542,0.16435825316629568
12313.0,-6.444509650351263e-06,0.0001769601799661065,-0.03641785203646149,0.18133749327889728,31331,-1.3128707492292782e-05,0.0003605019724707635,-0.036417852036461494,0.1940245451531954,12122.0,-0.000165722611682793,0.004065208628848385,-0.04076607790969386,0.17762989661177975
32121.0,-2.177009629689748e-06,5.977863899029877e-05,-0.03641785203646148,0.18133749327889734,21321,-2.3950095462518467e-05,0.0006576471187410963,-0.036417852036461494,0.1940245451531954,21231.0,-0.00010182190387073337,0.0025306518946285788,-0.04023544450615863,0.18064415953162394
32213.0,-2.5378633899905176e-05,0.0006968734420277214,-0.03641785203646148,0.18133749327889734,11123,-4.500127129895032e-05,0.0012356926282718465,-0.036417852036461494,0.1940245451531954,21123.0,-3.163027064474033e-05,0.0008150843352417325,-0.03880613241740148,0.18876336650450287
11212.0,-7.254355245776272e-06,0.00019919777911429884,-0.03641785203646148,0.18133749327889734,31121,-6.210167952237556e-05,0.0017052537711504641,-0.03641785203646149,0.19402454515319545,33331.0,-7.018682372349479e-05,0.001823732034891533,-0.03848527216755787,0.19058601307577422
31333.0,-1.3322104871254792e-06,3.658124827877473e-05,-0.03641785203646147,0.1813374932788974,12133,-4.4369951526916716e-05,0.0012183571804974549,-0.03641785203646149,0.19402454515319545,33332.0,-8.849260897041257e-05,0.0023078263750359847,-0.038344569560191784,0.19138527420272822
