shp1,shp1,shp1,shp1,shp1,shp3,shp3,shp3,shp3,shp3,shp5,shp5,shp5,shp5,shp5
shape,p_avg,p_std,p_srs,HSI,shape,p_avg,p_std,p_srs,HSI,shape,p_avg,p_std,p_srs,HSI
22222.0,-0.0004959195279283672,0.00788739061925419,-0.06287498006219704,0.0,12333,-0.00011630845936268163,0.0013259168240828327,-0.08771927261963425,0.0,33212.0,-0.0003366130536807754,0.0039287314181363645,-0.08567983347674385,0.0
22113.0,-5.69802283904778e-05,0.0010790821064764096,-0.052804349222821144,0.06000437937595013,22333,-0.00011899078410931107,0.0017885842971678422,-0.06652791500950145,0.1199958300733959,22211.0,-0.0007954162244453256,0.009939449474866975,-0.08002618519834782,0.02761883129172259
22311.0,-7.921714462032671e-05,0.0015466809849057788,-0.05121750729039479,0.06945934469457538,31121,-0.0004339875719518498,0.006696982204687355,-0.06480345306100604,0.12976057694552398,32331.0,-8.062316929837354e-05,0.0011820083337682678,-0.06820863017212844,0.08534917504108638
23312.0,-5.634277452358952e-05,0.0011007452619827436,-0.05118602502281114,0.06964692717653055,21232,-0.00025307732596530254,0.003966870722734467,-0.06379772461827286,0.1354555032232291,22123.0,-0.00010789046164428539,0.001583049735055041,-0.06815355149946326,0.0856182417557465
32231.0,-0.00011482137382956463,0.002249740824965439,-0.05103760066732511,0.07053129196730334,22122,-9.012705531045116e-05,0.0014257569981054893,-0.06321347566956345,0.13876380648815878,21332.0,-0.00031404210834649,0.004796216233163755,-0.06547705380233382,0.0986932925388267
23221.0,-5.126213512833903e-05,0.0011212674983663194,-0.04571802464891534,0.10222720681305571,11331,-9.658552414464278e-05,0.0015790894309378005,-0.06116532873459985,0.15036141604648753,23111.0,-6.117233225892967e-05,0.00093731604787838,-0.06526329341889918,0.09973754072623077
21132.0,-7.811912205043095e-05,0.0017467869572362496,-0.04472160828017076,0.10816420785700043,13311,-0.0001360821612653062,0.002243713923426599,-0.06065040638401956,0.15327715820977778,22323.0,-6.661969451839323e-05,0.0010213499984586,-0.06522709611683974,0.09991436940915667
33121.0,-1.1871203102344203e-05,0.0002774726370209754,-0.042783328942979,0.11971316149659457,21211,-0.00010854502496470081,0.0019191959486040153,-0.05655755215805572,0.17645290038021347,12311.0,-9.571938916689064e-05,0.0014999141158829224,-0.06381657999834581,0.10680493012192739
21211.0,-7.126076691608022e-05,0.001715835723914992,-0.041531229314590676,0.12717361380753991,13222,-0.00011788962540831498,0.0021150323774248615,-0.05573892232886308,0.181088382810553,21111.0,-5.866244682242917e-05,0.0009354567792293551,-0.06270994889871478,0.1122109716968295
31322.0,-9.571674255198107e-05,0.0023423065987057297,-0.04086430982385933,0.13114735594677013,33112,-0.0004021822813974513,0.007469280895273985,-0.05384484624911119,0.1918135678408559,12122.0,-8.112346367941794e-05,0.001299924102979699,-0.06240630779402115,0.11369429928121631
12321.0,-0.000187623873584032,0.004851415867769502,-0.038674044587790495,0.14419773067058178,23223,-7.776912473322304e-05,0.0014514381448812528,-0.05358073646299657,0.19330908660838297,33233.0,-8.728538329044545e-05,0.0014039283687557569,-0.062172248408800826,0.11483771081909824
23232.0,-6.997641677085231e-05,0.0018284115008372764,-0.038271700182813506,0.1465950408988183,31122,-4.763575898943425e-05,0.0009257023947260688,-0.05145904262625407,0.20532315469148624,31232.0,-0.00013885264334291103,0.00235946723733781,-0.058849150836092406,0.13107148885182107
22313.0,-9.153823270855568e-05,0.0023940269874622314,-0.03823609056537413,0.1468072155905874,32121,-0.00030449988853943714,0.005982039834192184,-0.05090235053250141,0.20847541756742421,21221.0,-0.00014174709391996467,0.0026900213894215817,-0.05269366796761555,0.16114184952727914
12123.0,-0.00017873298551378375,0.004872531885706653,-0.0366817477455794,0.15606853970491938,23112,-3.8570647691795215e-05,0.0007795282870784637,-0.049479471535730006,0.21653245428270976,31121.0,-5.0714873835582326e-05,0.0009840836963548806,-0.05153512249357854,0.16680149979478653
11123.0,-8.52190901101161e-05,0.0023400361455913126,-0.0364178520364615,0.15764092364969487,13333,-9.977424826845805e-05,0.0020963850762153076,-0.047593473832863144,0.2272118955924923,33231.0,-9.340429455452915e-05,0.0018153448864850822,-0.05145264420546609,0.16720441731148325
13223.0,-2.4976515038978283e-05,0.0006858316359232785,-0.036417852036461494,0.1576409236496949,21221,-8.390120738743896e-05,0.001785988068404351,-0.046977473630268156,0.23069998998435048,12131.0,-6.371579602130468e-05,0.0012402895998830168,-0.0513717086939327,0.16759979815735082
12211.0,-1.6984323970103988e-06,4.663735783510601e-05,-0.036417852036461494,0.1576409236496949,11112,-5.2069885162022834e-05,0.00112799848430328,-0.04616130773809004,0.23532152039836596,23212.0,-0.00017974084603386876,0.003510607784845724,-0.05119935266188319,0.16844178052641262
11333.0,-2.5852805669086654e-05,0.0007098937532944795,-0.036417852036461494,0.1576409236496949,21132,-8.380236588836657e-05,0.0018162334687480096,-0.04614074530084193,0.23543795497378642,22131.0,-7.161277835758729e-05,0.0013991258234412349,-0.05118394440140581,0.16851705194862857
12231.0,-0.0001766411336465903,0.004850399564195535,-0.036417852036461494,0.1576409236496949,33132,-6.822118503825124e-05,0.0015310574743630846,-0.044558212987158466,0.24439902684525625,23112.0,-0.00035394944656808475,0.006915747072899497,-0.05118021854140595,0.16853525327522084
11321.0,-1.9478968630015005e-05,0.000534874176832634,-0.036417852036461494,0.1576409236496949,22321,-0.00010647082998374302,0.0023916227542301266,-0.04451823758384354,0.24462538712813872,32131.0,-0.00012861070380342911,0.0025208108981612694,-0.051019576239233325,0.16932001250033457
