shp1,shp1,shp1,shp1,shp1,shp3,shp3,shp3,shp3,shp3,shp5,shp5,shp5,shp5,shp5
shape,p_avg,p_std,p_srs,HSI,shape,p_avg,p_std,p_srs,HSI,shape,p_avg,p_std,p_srs,HSI
22222.0,-0.001099696000150772,0.009091800650367651,-0.12095469780304773,0.0,22332.0,-0.00036102672645867443,0.00485414294436784,-0.07437496806260438,0.0,32222,-0.00020614920125758352,0.00260948246173082,-0.07900003325596168,0.0
32122.0,-0.00017942244766986062,0.0032647570931515933,-0.054957365142488245,0.3488709980295521,22322.0,-0.00022717471417490678,0.0031743590713367888,-0.07156553782028155,0.01820353921367419,21232,-0.00015755417519197756,0.0021161552265246157,-0.07445303313156779,0.029413275280558912
23212.0,-0.00015156231649748355,0.002819241403948842,-0.05375996404039539,0.35520062531429936,31232.0,-3.567679154065531e-05,0.000518322803542811,-0.06883122119420428,0.03592038413673793,22233,-0.0002034896224883112,0.002797887351661149,-0.07272974101959331,0.04056077118811125
21323.0,-4.216306897604082e-05,0.0008193103744681604,-0.05146165640025022,0.36734979631671405,31211.0,-0.00010389032206989942,0.0016641524123615617,-0.062428369720337676,0.0774072864018375,11211,-0.00035272797124542447,0.005420207816342661,-0.06507646629007505,0.09006767029932962
22321.0,-0.00011298132279014468,0.0022012605415102733,-0.05132573843922573,0.36806827739467884,22111.0,-0.00031852616025189934,0.005404175424052101,-0.05894075141126071,0.10000510559492758,21211,-0.0003049443008777004,0.004694310590607718,-0.06496040153112723,0.09081846084516428
33323.0,-2.5069730800281337e-05,0.0005125555072060792,-0.048911250484724084,0.38083159355398044,12122.0,-0.0003563955647447922,0.006084768470294594,-0.058571754452891665,0.10239599984110179,21322,-0.00014114365613386863,0.0022181334527880668,-0.06363172421229171,0.09941330374571364
33232.0,-9.646415094008566e-05,0.0019967628801986687,-0.04831026853348151,0.38400846699227686,32211.0,-6.360211953683267e-05,0.0011024539700893892,-0.0576914059565459,0.10810016651999375,21333,-0.00013261588411340433,0.0021030334293739975,-0.06305933242006506,0.10311594656350752
22121.0,-0.00019071134720259627,0.004181848195555755,-0.04560456006157137,0.39831121495070176,22333.0,-7.24589356933439e-05,0.001258314184455238,-0.05758413644896926,0.10879521303091493,12232,-0.00028191912385345234,0.004708968725578921,-0.059868548780559847,0.12375623576120812
32232.0,-0.00020851315810164054,0.004918831242574193,-0.04239079322276535,0.4152996294712565,22232.0,-0.0002801622375863243,0.004971993522035955,-0.05634806971180488,0.11680423528095181,21332,-0.00010063239796209471,0.001742510108385222,-0.0577513998213476,0.13745148173518074
21232.0,-0.00022914725217397316,0.005417889893427905,-0.04229455686279948,0.41580834813600476,13322.0,-0.0001050572354648936,0.0018649044397990695,-0.056333843827522226,0.11689641106751783,12321,-0.0001919623405343761,0.0033372234525107423,-0.05752157242870694,0.13893817102082356
12322.0,-0.00016132302952400726,0.003918741645958494,-0.041167049042486414,0.4217685098986303,23223.0,-0.00013960495830431645,0.0025104355539501146,-0.055609855462989737,0.12158745140212836,22122,-0.00010128675403973535,0.0017622357115267002,-0.057476280486897124,0.1392311519568249
