symbol,equity,test_year,price,lowT,highT,trades,in_days,t-val,p-val,exp_ret,volatility,years,sharpe,beat_pct
ACN,ACCENTURE PLC,2016,111.5439791,0.2875,0.725,19,143,2.375367251,0.018407852,31.01867157,0.132207228,0.989041096,2.10747697,16.01713325
ACN,ACCENTURE PLC,2017,149.1876557,0.36875,0.71875,25,170,0.589463088,0.556387743,26.43242679,0.087249967,0.98630137,2.670435841,10.9251466
ACN,ACCENTURE PLC,2018,138.7718733,0.29375,0.725,20,187,0.407183895,0.684623021,-12.52895421,0.154107548,0.994520548,-1.044594144,-2.412192074
ACN,ACCENTURE PLC,2019,186.3725,0.28125,0.725,12,87,2.511705703,0.012988044,19.87518879,0.081992875,0.789041096,2.645234901,6.931597609
AGCO,AGCO CORP,2002,20.69652489,0.28125,0.71875,20,117,2.571584981,0.010764168,89.77040762,0.294681575,0.994520548,2.944364958,92.19851768
AGCO,AGCO CORP,2003,19.01725623,0.3,0.75,18,93,2.498101595,0.013377494,68.08877045,0.204951037,0.994520548,3.169728541,57.58061248
AGCO,AGCO CORP,2004,20.59050701,0.35,0.76875,20,109,0.178179006,0.858749416,4.784501342,0.172593201,0.997260274,0.075185208,0.340604283
AGCO,AGCO CORP,2005,15.6046631,0.325,0.7625,13,115,2.269172407,0.024199455,21.61689605,0.146925776,0.989041096,1.249366788,12.49509993
AGCO,AGCO CORP,2006,29.35393498,0.3375,0.75,16,104,0.559151193,0.576719093,34.39655833,0.242940126,0.98630137,1.291441183,27.48457482
AGCO,AGCO CORP,2007,64.33555571,0.35625,0.71875,22,147,1.207858646,0.228648593,73.19791185,0.214456589,0.991780822,3.278263673,66.08151149
AGCO,AGCO CORP,2008,22.3381163,0.2375,0.70625,10,126,1.957969123,0.051550887,34.70370835,0.310383309,0.997260274,1.00839985,40.3186727
AGCO,AGCO CORP,2009,30.58385126,0.30625,0.7375,16,147,0.830975766,0.406946398,38.06434908,0.398838726,0.994520548,0.871882988,30.08578734
AGCO,AGCO CORP,2010,47.71719688,0.25,0.70625,19,146,1.7580089,0.080241397,60.21550478,0.21636963,0.989041096,2.652068714,36.32533185
AGCO,AGCO CORP,2011,40.32051757,0.2375,0.75,13,162,-0.61048373,0.542350767,-30.22679614,0.328410019,0.989041096,-1.037170521,-21.93409059
AGCO,AGCO CORP,2012,45.59115607,0.3,0.78125,20,135,1.542728466,0.124321774,32.55537734,0.212717178,0.994520548,1.374348138,20.31036569
AGCO,AGCO CORP,2013,55.8035457,0.2,0.75625,6,103,1.2438422,0.215153971,20.43074144,0.13527462,0.994520548,1.259904296,7.574796603
AGCO,AGCO CORP,2014,43.48486583,0.175,0.66875,11,173,-0.21509427,0.83002369,-14.7503256,0.149750346,0.994520548,-1.224143727,-22.92845384
AGCO,AGCO CORP,2015,44.11549074,0.21875,0.78125,10,162,0.847254224,0.398017068,19.18224397,0.203092548,0.994520548,0.777376196,11.04753751
AGCO,AGCO CORP,2016,56.61229433,0.19375,0.6875,13,132,2.342537322,0.02005952,51.03710465,0.144878317,0.989041096,3.320207853,45.31059546
AGCO,AGCO CORP,2017,70.63920131,0.375,0.69375,33,136,3.19384921,0.00160712,35.40165213,0.120570229,0.98630137,2.686678295,23.21507843
AGCO,AGCO CORP,2018,54.80459655,0.21875,0.73125,15,157,1.625528277,0.105786178,-2.365758971,0.174655731,0.994520548,-0.336593218,4.449721168
AGCO,AGCO CORP,2019,73.2975,0.19375,0.8375,6,102,-1.001482379,0.317841909,11.55140226,0.151240512,0.789041096,0.736561775,5.294438922
A,AGILENT TECHNOLOGIES INC,2002,11.22941013,0.29375,0.68125,25,129,0.691960913,0.489632806,6.924654351,0.381351226,0.994520548,0.090803608,7.637776581
A,AGILENT TECHNOLOGIES INC,2003,18.09767673,0.34375,0.8,14,155,3.06338389,0.002550573,118.0871517,0.230790857,0.994520548,4.993168763,102.480807
A,AGILENT TECHNOLOGIES INC,2004,15.06414809,0.35,0.51875,26,161,0.617791913,0.53759886,15.19726566,0.207828816,0.997260274,0.564840651,6.012726553
A,AGILENT TECHNOLOGIES INC,2005,20.79365816,0.25,0.7625,12,157,0.634471731,0.526546972,40.13288742,0.189670204,0.989041096,1.954844374,34.77874785
A,AGILENT TECHNOLOGIES INC,2006,23.30429641,0.3375,0.6875,23,149,2.341475263,0.02023842,11.37920832,0.17503131,0.98630137,0.459189438,4.121001859
A,AGILENT TECHNOLOGIES INC,2007,24.53586232,0.26875,0.725,14,167,1.760517333,0.080190262,11.75815693,0.185365218,0.991780822,0.450764189,-3.48247871
A,AGILENT TECHNOLOGIES INC,2008,10.16244578,0.2,0.725,12,122,1.331008661,0.184443139,-10.10652859,0.271222997,0.997260274,-0.502696819,0.380572574
A,AGILENT TECHNOLOGIES INC,2009,20.69126452,0.2125,0.69375,12,139,0.754668675,0.451246852,62.40333838,0.222057774,0.994520548,2.668096565,42.74669108
A,AGILENT TECHNOLOGIES INC,2010,27.48656252,0.25,0.70625,15,191,0.537346756,0.592077981,38.55540657,0.193656145,0.989041096,1.83224825,31.38462784
A,AGILENT TECHNOLOGIES INC,2011,23.24123232,0.1875,0.6875,11,187,1.009412672,0.314691225,-12.45697345,0.353605437,0.989041096,-0.455168364,-3.808084106
A,AGILENT TECHNOLOGIES INC,2012,26.99711515,0.2,0.7,8,152,0.313167446,0.754498117,13.13879733,0.188612917,0.994520548,0.514873932,10.23458604
A,AGILENT TECHNOLOGIES INC,2013,38.78437396,0.2125,0.69375,15,188,0.680637115,0.497378432,35.67427494,0.161096252,0.994520548,2.009409098,23.16504468
A,AGILENT TECHNOLOGIES INC,2014,39.30118174,0.25,0.71875,14,149,-2.403715774,0.017150497,-7.181288624,0.148369445,0.994520548,-0.722578355,-6.145107752
A,AGILENT TECHNOLOGIES INC,2015,40.48148714,0.40625,0.79375,18,73,0.810561963,0.41895741,8.168401472,0.092759255,0.994520548,0.508133278,1.400130193
A,AGILENT TECHNOLOGIES INC,2016,44.52028242,0.20625,0.8125,14,125,1.11609895,0.265508826,18.02156863,0.127371693,0.989041096,1.155771214,-1.289278248
A,AGILENT TECHNOLOGIES INC,2017,66.20303888,0.2625,0.675,15,173,1.184632847,0.238073821,40.98409694,0.110481484,0.98630137,3.444316556,28.82297975
A,AGILENT TECHNOLOGIES INC,2018,66.48094665,0.39375,0.60625,24,147,-0.249069145,0.803559647,6.325524548,0.180023903,0.994520548,0.158888674,-5.251438126
A,AGILENT TECHNOLOGIES INC,2019,75.44,0.2,0.71875,10,147,1.741679625,0.084660308,21.44738409,0.206884709,0.789041096,1.144675248,3.682776637
APD,AIR PRODUCTS & CHEMICALS INC,2002,26.02190596,0.31875,0.71875,15,102,0.918448847,0.359568471,20.26871895,0.17275856,0.994520548,0.977108882,16.56000428
APD,AIR PRODUCTS & CHEMICALS INC,2003,32.8073117,0.26875,0.7375,11,144,2.754054095,0.006397347,43.42779051,0.137905983,0.994520548,2.912641003,23.01072174
APD,AIR PRODUCTS & CHEMICALS INC,2004,36.99000043,0.225,0.7875,9,157,0.797283926,0.426296369,15.72488448,0.133959314,0.997260274,0.91580677,6.578404512
APD,AIR PRODUCTS & CHEMICALS INC,2005,38.48525051,0.325,0.725,22,97,1.029818806,0.304396247,17.31165444,0.07628327,0.989041096,1.835720123,5.464603882
APD,AIR PRODUCTS & CHEMICALS INC,2006,46.9021781,0.23125,0.75,14,95,-0.281326278,0.778771303,1.703500098,0.08366995,0.98630137,-0.211884934,-1.536259161
APD,AIR PRODUCTS & CHEMICALS INC,2007,67.48237857,0.23125,0.7125,12,221,-0.063779245,0.949389399,34.51334232,0.169609915,0.991780822,1.845373515,32.08180099
APD,AIR PRODUCTS & CHEMICALS INC,2008,34.43491747,0.36875,0.725,15,166,0.682791445,0.495665808,-24.33092621,0.328022702,0.997260274,-0.850482885,-0.563344871
APD,AIR PRODUCTS & CHEMICALS INC,2009,57.96217121,0.2,0.775,13,132,2.72542113,0.006907345,87.62643707,0.201510518,0.994520548,4.198749922,42.63225485
APD,AIR PRODUCTS & CHEMICALS INC,2010,66.1348033,0.34375,0.63125,28,125,2.486274036,0.013593704,19.73659565,0.153906771,0.989041096,1.069172175,-5.538107589
APD,AIR PRODUCTS & CHEMICALS INC,2011,63.66598574,0.2625,0.6875,16,144,-0.225536056,0.821777622,6.630270353,0.170355359,0.989041096,0.188061941,4.579959638
APD,AIR PRODUCTS & CHEMICALS INC,2012,64.0988578,0.33125,0.725,18,118,1.473308337,0.142013851,11.8624489,0.112070979,0.994520548,0.752006169,0.553141531
APD,AIR PRODUCTS & CHEMICALS INC,2013,89.01616743,0.325,0.775,14,114,-0.647795676,0.51783861,13.31601123,0.087308927,0.994520548,1.132688032,-11.71710624
APD,AIR PRODUCTS & CHEMICALS INC,2014,117.9408229,0.21875,0.76875,9,135,-0.607464245,0.544141597,4.733232576,0.112675429,0.994520548,0.111764473,5.918474979
APD,AIR PRODUCTS & CHEMICALS INC,2015,108.8652502,0.2375,0.8,7,190,0.572179866,0.568254168,2.467934606,0.16576791,0.994520548,-0.061439392,-5.04772546
APD,AIR PRODUCTS & CHEMICALS INC,2016,133.5777543,0.35,0.8625,6,100,-0.309490347,0.757282785,4.733866562,0.084584778,0.989041096,0.15207457,-0.464204896
APD,AIR PRODUCTS & CHEMICALS INC,2017,157.0778754,0.26875,0.66875,21,189,0.178530289,0.858629884,11.15156454,0.099941421,0.98630137,0.781102296,-4.019288104
APD,AIR PRODUCTS & CHEMICALS INC,2018,157.300903,0.18125,0.61875,15,185,-1.092890166,0.2764734,-3.161125633,0.137164041,0.994520548,-0.486901835,1.577011004
APD,AIR PRODUCTS & CHEMICALS INC,2019,214.635,0.24375,0.65,15,99,-1.152772604,0.250418143,13.1846279,0.100926994,0.789041096,1.308835645,3.342496816
ALG,ALAMO GROUP INC,2002,10.4378302,0.2375,0.75,11,177,0.597672576,0.551074685,-4.606428226,0.179468644,0.994520548,-0.453104667,16.19979442
ALG,ALAMO GROUP INC,2003,13.28826048,0.325,0.7125,30,129,0.085220746,0.932156025,17.65210232,0.101968119,0.994520548,1.397432768,11.77317481
ALG,ALAMO GROUP INC,2004,23.75512251,0.34375,0.725,20,98,1.191316685,0.235151367,52.39811928,0.153317583,0.997260274,3.198724448,42.1683781
ALG,ALAMO GROUP INC,2005,18.53768829,0.35,0.775,11,128,-1.335518686,0.182942025,-20.07408021,0.169778683,0.989041096,-1.401619288,-19.0190035
ALG,ALAMO GROUP INC,2006,21.01234026,0.4125,0.6625,28,150,0.751095517,0.453484295,19.92358946,0.201279379,0.98630137,0.829707746,15.89631502
ALG,ALAMO GROUP INC,2007,16.34334589,0.325,0.775,20,120,2.133150948,0.033965741,5.052482962,0.193032996,0.991780822,0.082594914,-11.18864965
ALG,ALAMO GROUP INC,2008,13.19349546,0.23125,0.7875,11,111,-1.672116091,0.09610116,-40.6674876,0.395838024,0.997260274,-1.118619454,-5.244293271
ALG,ALAMO GROUP INC,2009,15.46919591,0.20625,0.55625,18,195,0.107581848,0.914547249,34.23644891,0.452196958,0.994520548,0.683885174,-5.863590124
ALG,ALAMO GROUP INC,2010,26.16006201,0.29375,0.70625,27,134,2.292021451,0.022805203,74.72082449,0.232389316,0.989041096,3.100347182,53.77311406
ALG,ALAMO GROUP INC,2011,25.9227095,0.4,0.78125,18,93,1.078342243,0.282414558,30.9040852,0.165936502,0.989041096,1.672116289,3.812543703
ALG,ALAMO GROUP INC,2012,31.22784436,0.2875,0.75625,14,152,0.791657442,0.4295323,26.7719489,0.16012025,0.994520548,1.462616551,20.75922773
ALG,ALAMO GROUP INC,2013,57.37320162,0.25625,0.79375,12,120,0.666802892,0.505544243,30.99028582,0.150242818,0.994520548,1.84108842,22.11017719
ALG,ALAMO GROUP INC,2014,47.52111825,0.225,0.56875,14,217,0.732182779,0.466779996,-1.439143344,0.283417499,0.994520548,-0.174550708,-12.86714419
ALG,ALAMO GROUP INC,2015,51.85803274,0.29375,0.7375,17,131,-0.246378422,0.805616381,-7.004306757,0.190303454,0.994520548,-0.554004551,-5.8307911
